repo_full_name,repo_url,stars,forks,description,last_updated,primary_language,discovered_at
1092775747/visual-chat-zyxz,https://github.com/1092775747/visual-chat-zyxz,0,0,,2024-09-03T15:51:39Z,Jupyter Notebook,2025-10-24T08:15:24.254162
dmlabcode/UL_Processor_2223,https://github.com/dmlabcode/UL_Processor_2223,0,0,,2025-10-03T15:07:36Z,Python,2025-10-24T08:15:24.519090
Grandediw/automatic-control,https://github.com/Grandediw/automatic-control,2,0,"This repository contains code, simulations, and documentation related to automatic control systems. It covers topics such as PID controllers, state-space modeling, transfer function analysis, and system response simulations.",2025-06-07T16:30:07Z,Python,2025-10-24T08:15:24.826791
utra-robosoccer/soccer_localization,https://github.com/utra-robosoccer/soccer_localization,1,1,Subtree for soccer localization,2024-07-28T16:50:48Z,Unknown,2025-10-24T08:15:25.380762
JafarBanar/vehicle-motion-estimation,https://github.com/JafarBanar/vehicle-motion-estimation,0,0,"Portable 2D/3D Kalman Filter simulation with CAN output, functional safety, and embedded support",2025-04-03T11:55:40Z,Python,2025-10-24T08:15:25.657158
The1one1/ML_algo_Code,https://github.com/The1one1/ML_algo_Code,0,0,,2023-11-25T10:22:42Z,Jupyter Notebook,2025-10-24T08:15:25.977079
Mohammed-Jagda/TrainSpacer-Using-Yolo-V8,https://github.com/Mohammed-Jagda/TrainSpacer-Using-Yolo-V8,0,0,,2025-05-17T15:14:41Z,Dart,2025-10-24T08:15:26.272595
zolware/zolware_API,https://github.com/zolware/zolware_API,0,0,API for the core product.,2017-04-01T20:30:12Z,Python,2025-10-24T08:15:26.597499
Robosid/SLAMBOT,https://github.com/Robosid/SLAMBOT,0,0,An EKF SLAM implementation on a custom built terrain bot powered by Pi and PiCam.,2018-11-16T15:30:44Z,Python,2025-10-24T08:15:26.876256
chengxuxin/unitree-hardware,https://github.com/chengxuxin/unitree-hardware,5,0,,2025-03-20T19:35:14Z,Python,2025-10-24T08:15:27.259228
BillyChern/UVA-world_model,https://github.com/BillyChern/UVA-world_model,1,0,World model for robotics learning!,2025-09-16T07:25:17Z,Python,2025-10-24T08:15:27.526568
mikezhang95/rrl_usr,https://github.com/mikezhang95/rrl_usr,3,0,,2025-09-29T05:17:08Z,Python,2025-10-24T08:15:27.831378
DemonRain7/UMC,https://github.com/DemonRain7/UMC,0,0,A Unified Malfunction Controller for Legged Robots.,2025-09-14T22:51:56Z,Python,2025-10-24T08:15:28.097699
UARK-AICV/G2MOT,https://github.com/UARK-AICV/G2MOT,0,0,,2025-03-20T02:15:35Z,Python,2025-10-24T08:15:28.419061
MikejR2904/SpiderPi,https://github.com/MikejR2904/SpiderPi,1,0,,2024-08-13T15:38:13Z,C++,2025-10-24T08:15:28.718354
XTERY11/dog,https://github.com/XTERY11/dog,11,1,to study from quadruped dog,2025-10-02T07:11:50Z,C++,2025-10-24T08:15:29.003496
Fauzan6044/Cafe-Analyser,https://github.com/Fauzan6044/Cafe-Analyser,0,0,Restro Checkmate,2025-02-28T16:18:04Z,Python,2025-10-24T08:15:29.276336
ARG-NCTU/dt-drone-interface,https://github.com/ARG-NCTU/dt-drone-interface,0,0,Docker image containing the ROS interface for a duckiedrone,2022-03-04T07:55:15Z,Python,2025-10-24T08:15:29.589519
Hariommeena2000/Real-Time-Objects-Tracking,https://github.com/Hariommeena2000/Real-Time-Objects-Tracking,0,0,,2024-11-29T20:53:52Z,Python,2025-10-24T08:15:29.911848
jonaden94/PigBench,https://github.com/jonaden94/PigBench,6,0,"Code for the paper ""Benchmarking pig detection and tracking under diverse and challenging conditions""",2025-10-22T08:10:54Z,Python,2025-10-24T08:15:30.187415
datnguyentin/Helmet_Detection,https://github.com/datnguyentin/Helmet_Detection,0,0,Helmet Detection system with yolo-attention for Helmet Detection system and vanilla YOLO for license plate detection,2024-09-27T04:37:52Z,Python,2025-10-24T08:15:30.433954
tars3017/elsalabA-MVA2025,https://github.com/tars3017/elsalabA-MVA2025,0,0,,2025-06-30T10:11:01Z,Python,2025-10-24T08:15:30.698989
yohatad/cssr4africa,https://github.com/yohatad/cssr4africa,0,1,,2025-10-13T09:57:46Z,C++,2025-10-24T08:15:30.983855
PIYUSH-JOSHI1/UST-GLOBAL-MAIN,https://github.com/PIYUSH-JOSHI1/UST-GLOBAL-MAIN,2,0,"TRACK-V (Traffic Regulation and Control using AI & Computer Vision) is an AI-powered traffic management system that leverages real-time video analytics to monitor vehicle flow, detect emergencies, and dynamically optimize signal timings. It enhances road safety, reduces congestion, and improves overall traffic efficiency.",2025-10-10T07:52:50Z,Python,2025-10-24T08:15:31.263825
PIYUSH-JOSHI1/UST-Global,https://github.com/PIYUSH-JOSHI1/UST-Global,1,0,,2025-09-09T07:59:37Z,JavaScript,2025-10-24T08:15:31.566900
SfTI-Robotics/ROS-label-node,https://github.com/SfTI-Robotics/ROS-label-node,8,1,,2024-02-09T15:26:34Z,Python,2025-10-24T08:15:31.888795
bowu1004/instance_segmentation_RealSense,https://github.com/bowu1004/instance_segmentation_RealSense,26,2,Realtime instance segmentation by Detectron2 and Intel RealSense D435.,2025-06-24T11:21:46Z,Python,2025-10-24T08:15:32.125806
NguyenHoangXuanSon/Project2-ALPR,https://github.com/NguyenHoangXuanSon/Project2-ALPR,0,0,,2025-07-14T13:03:19Z,Python,2025-10-24T08:15:32.368877
gopala-kr/notebooks,https://github.com/gopala-kr/notebooks,16,18,A collection of practical handson jupyter notebooks on bigdata/ml/dl/rl/cv/nlp/ds/scipy/viz-lib/various command lines,2025-05-22T23:40:16Z,Jupyter Notebook,2025-10-24T08:15:32.642973
Parthiban1805/License-Plate-Detector,https://github.com/Parthiban1805/License-Plate-Detector,1,0,,2025-09-13T05:48:19Z,Python,2025-10-24T08:15:32.940723
valera2444/Drone_object_tracking,https://github.com/valera2444/Drone_object_tracking,0,0,,2024-09-09T08:47:37Z,Python,2025-10-24T08:15:33.212839
kelanliu1/instant_object_tracking,https://github.com/kelanliu1/instant_object_tracking,0,0,,2023-07-26T01:26:36Z,Python,2025-10-24T08:15:33.478008
akashAD98/yolov7_tracking,https://github.com/akashAD98/yolov7_tracking,0,0,,2022-11-08T06:19:56Z,Python,2025-10-24T08:15:33.763819
navy-ai/StrongSort,https://github.com/navy-ai/StrongSort,0,2,,2022-12-14T06:41:46Z,Python,2025-10-24T08:15:34.117106
ChrisRawstone/CVFP,https://github.com/ChrisRawstone/CVFP,0,0,,2024-12-03T15:58:13Z,Python,2025-10-24T08:15:34.394670
thiago5980/Hexar_Human_tracking,https://github.com/thiago5980/Hexar_Human_tracking,0,0,,2023-11-17T05:03:32Z,Python,2025-10-24T08:15:34.697644
ece257b/Sensor-Fusion-for-Autonomous-Driving,https://github.com/ece257b/Sensor-Fusion-for-Autonomous-Driving,1,0,P2SIF platform for sensor fusion in autonomous driving,2025-05-07T22:16:54Z,Jupyter Notebook,2025-10-24T08:15:35.067218
HCIS-Lab/IDS_s24,https://github.com/HCIS-Lab/IDS_s24,1,3,,2025-01-08T03:38:03Z,Python,2025-10-24T08:15:35.389873
iclrlangprop/LangProp,https://github.com/iclrlangprop/LangProp,0,0,,2024-01-30T12:01:39Z,Python,2025-10-24T08:15:35.671778
BOYUE522/Langprop0913,https://github.com/BOYUE522/Langprop0913,0,0,,2024-12-10T17:26:41Z,Python,2025-10-24T08:15:35.919481
PaddlePaddle/models,https://github.com/PaddlePaddle/models,6938,2879,"Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on.",2025-10-22T13:40:41Z,Python,2025-10-24T08:15:36.277398
rouming/precise-landing,https://github.com/rouming/precise-landing,21,3,"Mission planner, autonomous flight and precision landing of the Parrot ANAFI drone using Kalman filter",2025-10-06T09:15:53Z,Python,2025-10-24T08:15:36.572755
CoffeRobot/fato,https://github.com/CoffeRobot/fato,24,7,ROS-package for detecting and tracking unknown objects in 2D and 3D,2023-12-13T07:55:51Z,C++,2025-10-24T08:15:36.819836
axinc-ai/ailia-models,https://github.com/axinc-ai/ailia-models,2269,349,"The collection of pre-trained, state-of-the-art AI models for ailia SDK",2025-10-23T01:53:59Z,Python,2025-10-24T08:15:37.183140
bostondiditeam/MV3D,https://github.com/bostondiditeam/MV3D,495,183,Multi-View 3D Object Detection Network for Autonomous Driving,2025-09-11T17:36:55Z,Jupyter Notebook,2025-10-24T08:15:37.456871
perfanalytics/pose2sim,https://github.com/perfanalytics/pose2sim,470,78,Markerless kinematics with any cameras — From 2D Pose estimation to 3D OpenSim motion,2025-10-24T00:28:54Z,Python,2025-10-24T08:15:37.778010
0ssamaak0/DLTA-AI,https://github.com/0ssamaak0/DLTA-AI,353,41,"Data Labeling, Tracking and Annotation with AI",2025-10-22T10:40:08Z,Python,2025-10-24T08:15:38.062438
RizwanMunawar/yolov7-object-tracking,https://github.com/RizwanMunawar/yolov7-object-tracking,637,175,"YOLOv7 Object Tracking Using PyTorch, OpenCV and Sort Tracking",2025-10-22T06:41:23Z,Python,2025-10-24T08:15:38.348414
blacksaturn1/AdvNav_UKF_ParticleFilters,https://github.com/blacksaturn1/AdvNav_UKF_ParticleFilters,0,0,,2025-05-21T17:49:12Z,Jupyter Notebook,2025-10-24T08:15:38.688131
BridgeQZH/MPC-Project,https://github.com/BridgeQZH/MPC-Project,0,0,,2023-08-23T08:22:54Z,Python,2025-10-24T08:15:38.981196
darraghdog/dfake,https://github.com/darraghdog/dfake,0,0,Deepfake Detection Challenge,2020-04-05T19:18:33Z,Python,2025-10-24T08:15:39.237817
LCAV/audioROS,https://github.com/LCAV/audioROS,33,7,ROS2 stack for audio processing,2025-09-29T11:55:58Z,Python,2025-10-24T08:15:39.574651
UARK-AICV/TrackGUI,https://github.com/UARK-AICV/TrackGUI,19,3,,2025-09-22T19:02:16Z,Python,2025-10-24T08:15:39.897309
AIR-THU/DAIR-V2X,https://github.com/AIR-THU/DAIR-V2X,557,78,,2025-10-23T13:21:06Z,Python,2025-10-24T08:15:40.260765
yudhisteer/Real-time-Multi-Object-Tracking-for-Rescue-Operations,https://github.com/yudhisteer/Real-time-Multi-Object-Tracking-for-Rescue-Operations,7,0,"This project shows the implementation of tracking algorithms like SORT and Deep SORT from scratch.  The project aims to assist emergency responders in assessing the number of people at a disaster site and tracking their movements for rescue operations, especially in situations where they are being carried away by floodwaters.",2025-10-04T11:24:37Z,Python,2025-10-24T08:15:40.588050
jeetsagar/turbojet,https://github.com/jeetsagar/turbojet,0,3,PHM on turbojet data,2021-06-03T19:05:31Z,Python,2025-10-24T08:15:40.874072
caiostringari/deepwaves,https://github.com/caiostringari/deepwaves,22,7,Code and data for Deep Neural Networks for Active Wave Breaking Classification,2025-09-23T10:51:07Z,Python,2025-10-24T08:15:41.123157
openxrlab/xrmocap,https://github.com/openxrlab/xrmocap,388,44,OpenXRLab Multi-view Motion Capture Toolbox and Benchmark,2025-10-15T01:14:18Z,Python,2025-10-24T08:15:41.401103
Tashhfia/BugHunt,https://github.com/Tashhfia/BugHunt,0,0,YOLOv8 and SORT based MOT,2025-08-29T23:35:00Z,Python,2025-10-24T08:15:41.681971
balabit-deps/balabit-os-7-fail2ban,https://github.com/balabit-deps/balabit-os-7-fail2ban,1,0,,2019-02-02T17:52:20Z,Python,2025-10-24T08:15:42.563067
andrewadare/ssd-intro-robotics,https://github.com/andrewadare/ssd-intro-robotics,2,1,Examples and demos for the Intro to Robotics class at the Boulder Hackerspace,2019-10-22T18:52:01Z,Python,2025-10-24T08:15:42.850428
VincentDehaye/camera-tracking-liu,https://github.com/VincentDehaye/camera-tracking-liu,0,0,,2018-12-09T20:56:02Z,Python,2025-10-24T08:15:43.196278
TatarchI/DataScience_Portfolio_IvanTatarchuk,https://github.com/TatarchI/DataScience_Portfolio_IvanTatarchuk,0,0,Data Science portfolio,2025-06-19T17:04:56Z,HTML,2025-10-24T08:15:43.463767
ambicuity/Number-Plate,https://github.com/ambicuity/Number-Plate,0,0,,2025-07-25T15:44:37Z,Python,2025-10-24T08:15:43.721009
ArtyomOganesyan/manipulator-teleoperation,https://github.com/ArtyomOganesyan/manipulator-teleoperation,0,0,,2025-06-28T19:42:05Z,Python,2025-10-24T08:15:43.969197
OpenDriveLab/ETA,https://github.com/OpenDriveLab/ETA,34,1,"[ICCV 2025] ETA: Efficiency through Thinking Ahead, A Dual Approach to Self-Driving with Large Models",2025-09-05T02:27:03Z,Python,2025-10-24T08:15:44.280635
lukestroh/branch_detection_system,https://github.com/lukestroh/branch_detection_system,0,0,,2025-07-17T20:15:00Z,Python,2025-10-24T08:15:44.540356
Dorlerd/jetracer_ws,https://github.com/Dorlerd/jetracer_ws,0,0,,2024-03-29T14:31:07Z,C++,2025-10-24T08:15:44.832966
reecekeller/adaptation,https://github.com/reecekeller/adaptation,0,0,A variety of ANN architectures that implement biological adaptation mechanisms,2024-10-28T22:01:48Z,Jupyter Notebook,2025-10-24T08:15:45.102142
ujtakk/mvint,https://github.com/ujtakk/mvint,1,0,,2021-12-26T13:11:20Z,C,2025-10-24T08:15:45.381571
ParagPat20/usb-cam-server,https://github.com/ParagPat20/usb-cam-server,0,0,,2025-09-15T12:58:52Z,Python,2025-10-24T08:15:45.646574
zoe08/pigtrack_mmaction,https://github.com/zoe08/pigtrack_mmaction,7,1,群养生猪多目标跟踪与行为识别,2025-09-16T06:42:44Z,Unknown,2025-10-24T08:15:45.888278
aengoo/focusface,https://github.com/aengoo/focusface,3,2,,2024-10-22T12:19:20Z,Python,2025-10-24T08:15:46.187786
icetea0113/KABOAT2023,https://github.com/icetea0113/KABOAT2023,0,0,Pusan Nat'l Univ. NAOE KABOAT 2023,2023-12-07T09:40:10Z,C++,2025-10-24T08:15:46.485544
wuhanstudio/2d-carla-tracking,https://github.com/wuhanstudio/2d-carla-tracking,3,3,2D Object Tracking in CARLA Simulator.,2024-11-25T09:19:32Z,Python,2025-10-24T08:15:46.760276
MSRG/ksurf,https://github.com/MSRG/ksurf,0,0,Ksurf+ suite of algorithms: Kalman-based filtering for cloud resource prediction.,2025-08-29T13:40:48Z,Unknown,2025-10-24T08:15:47.111684
Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,5604,1259,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams",2025-10-24T05:54:40Z,Python,2025-10-24T08:15:47.421155
itsjameszhao/gazepointer,https://github.com/itsjameszhao/gazepointer,1,0,,2024-11-26T11:01:36Z,Python,2025-10-24T08:15:47.694107
viinex/tracker,https://github.com/viinex/tracker,0,0,Object detection and tracking for Viinex. Fork of https://github.com/Beerwalker/car_detector with Viinex integration added,2022-03-12T17:20:11Z,Python,2025-10-24T08:15:48.026247
asterixds/ExtendedKalmanFilter,https://github.com/asterixds/ExtendedKalmanFilter,90,39,,2025-03-30T10:52:44Z,C++,2025-10-24T08:15:48.312978
rhololkeolke/ssl-py-tools,https://github.com/rhololkeolke/ssl-py-tools,0,0,Various python packages for working with SSL Robots,2019-10-28T21:30:27Z,Python,2025-10-24T08:15:48.592529
Hugation99/BusStop-TMB,https://github.com/Hugation99/BusStop-TMB,1,0,,2025-09-08T11:27:13Z,Python,2025-10-24T08:15:48.876014
hson19/body_head,https://github.com/hson19/body_head,0,0,,2024-07-28T17:43:30Z,Python,2025-10-24T08:15:49.122480
aiuniver/terra_gui,https://github.com/aiuniver/terra_gui,2,1,,2024-08-22T19:36:29Z,Python,2025-10-24T08:15:49.435655
a-bheemreddy/behavioral_prediction_588,https://github.com/a-bheemreddy/behavioral_prediction_588,0,0,scripts for behavioral prediction pipeline,2024-03-29T00:50:44Z,Python,2025-10-24T08:15:49.710793
JyunWei-Su/Hybird_BLE_AoA_RSSI_Localization,https://github.com/JyunWei-Su/Hybird_BLE_AoA_RSSI_Localization,4,0,Hybird_BLE_AoA_RSSI_Localization,2024-11-30T07:23:42Z,Jupyter Notebook,2025-10-24T08:15:49.953154
koghalai123/ar4_practice,https://github.com/koghalai123/ar4_practice,0,0,,2025-10-24T02:48:39Z,Python,2025-10-24T08:15:50.196486
UoM-Robotics-Society/ROV-project,https://github.com/UoM-Robotics-Society/ROV-project,9,3,"Software, mechanical design and hardware for ROV",2025-10-14T20:19:54Z,C,2025-10-24T08:15:50.523951
LeonForces/mydeeplom,https://github.com/LeonForces/mydeeplom,0,0,,2024-09-05T10:28:35Z,Python,2025-10-24T08:15:50.834274
w407022008/Kalman-and-Bayesian-Filters-in-Python,https://github.com/w407022008/Kalman-and-Bayesian-Filters-in-Python,19,1,have some modifications. come from http://github.com/rlabbe/Kalman-and-Bayesian-Filters-in-Python,2025-09-11T04:35:04Z,Jupyter Notebook,2025-10-24T08:15:51.126551
illini-robomaster/iRM_Vision_2023,https://github.com/illini-robomaster/iRM_Vision_2023,10,1,iRM Perception Software Stack for 2023 Season,2025-07-22T09:49:18Z,Python,2025-10-24T08:15:51.469479
t-thanh/jeremie-src,https://github.com/t-thanh/jeremie-src,0,0,,2024-06-26T16:50:33Z,C++,2025-10-24T08:15:51.718813
z-hwa/multiple_bird_tracking,https://github.com/z-hwa/multiple_bird_tracking,0,0,,2025-05-03T10:27:44Z,Python,2025-10-24T08:15:51.965633
GNSSNWO/Localization-Kalman-Filter,https://github.com/GNSSNWO/Localization-Kalman-Filter,0,1,robot localization by kalman filter,2021-06-28T06:52:25Z,Python,2025-10-24T08:15:52.287765
SonicAutoDrive/GARD,https://github.com/SonicAutoDrive/GARD,11,1,Target-level monocular depth estimation tool from roadside perspectives,2024-12-20T10:22:44Z,Python,2025-10-24T08:15:52.596306
Milad-Khanchi/DepthMOT,https://github.com/Milad-Khanchi/DepthMOT,4,0,Depth-Aware Scoring and Hierarchical Alignment for Multiple Object Tracking [IEEE ICIP 2025],2025-08-16T14:06:04Z,Python,2025-10-24T08:15:52.860454
gassajor000/cse276a_jetbot,https://github.com/gassajor000/cse276a_jetbot,0,0,jetbot code for cse 276a,2025-10-15T05:22:29Z,Python,2025-10-24T08:15:53.139723
jmz3/PoseHub,https://github.com/jmz3/PoseHub,2,2,A library for managing and synthesising the spatial relationship for realtime object tracking task,2025-06-10T18:37:12Z,Python,2025-10-24T08:15:53.403268
kslhuy/Huy_Neural,https://github.com/kslhuy/Huy_Neural,0,0,,2025-05-26T09:30:25Z,Python,2025-10-24T08:15:53.728007
cisrobot/2025ESWContest_free_1017,https://github.com/cisrobot/2025ESWContest_free_1017,0,0,,2025-09-09T22:54:25Z,C++,2025-10-24T08:15:53.992932
VisualComputingInstitute/towards-reid-tracking,https://github.com/VisualComputingInstitute/towards-reid-tracking,82,17,"Code for the paper ""Towards a Principled Integration of Multi-Camera Re-Identification and Tracking through Optimal Bayes Filters""",2024-01-04T16:14:00Z,Python,2025-10-24T08:15:54.316055
konfig-sdks/vantage-python-sdk,https://github.com/konfig-sdks/vantage-python-sdk,0,0,"Vantage: Cloud cost observability platform with 12+ integrations inc. AWS, Azure, GCP, Kubernetes. Trusted by global organizations to optimize infrastructure costs. Founded by ex-AWS, DO, GitHub employees. Backed by top VCs. Vantage's Python SDK generated by Konfig (https://konfigthis.com/).",2024-03-21T19:59:33Z,Python,2025-10-24T08:15:54.646970
opendr-eu/opendr,https://github.com/opendr-eu/opendr,717,103,"A modular, open and non-proprietary toolkit for core robotic functionalities by harnessing deep learning",2025-10-22T02:49:45Z,Python,2025-10-24T08:15:54.973111
cKohl10/asen-5519-projects,https://github.com/cKohl10/asen-5519-projects,0,0,Final projects for Bayesian reasoning,2025-05-06T20:54:52Z,Python,2025-10-24T08:15:55.259004
barney-NG/piCAMTracker,https://github.com/barney-NG/piCAMTracker,18,12,A Python project to detect fast moving objects passing a target line with a Raspberry Pi,2024-06-26T14:19:28Z,Python,2025-10-24T08:15:55.543211
Kaipa-Charan/obstacledetection,https://github.com/Kaipa-Charan/obstacledetection,1,0,,2024-09-11T11:33:53Z,Python,2025-10-24T08:15:55.856016
gislas3/quartercar,https://github.com/gislas3/quartercar,0,0,Code for suspension/road profile simulations based on quartercar model for suspension,2024-04-09T23:16:16Z,Jupyter Notebook,2025-10-24T08:15:56.140960
PurdueCAM2Project/HumanBehaviorS19,https://github.com/PurdueCAM2Project/HumanBehaviorS19,0,2,First prototype of the Human Behavior Pedestrian Analyzer,2019-07-29T15:21:20Z,Python,2025-10-24T08:15:56.463688
HadassaBagrish/Automatics-License-Plate-,https://github.com/HadassaBagrish/Automatics-License-Plate-,0,0,,2024-08-07T10:18:33Z,Jupyter Notebook,2025-10-24T08:15:56.699604
JXNCTED/DD2419,https://github.com/JXNCTED/DD2419,0,0,DD2419 at KTH. Project Course in Robotics and Autonomous Systems. Final project code.,2024-05-20T14:19:32Z,Python,2025-10-24T08:15:56.973910
RavulapalliManas/Zebrafish-tracker-,https://github.com/RavulapalliManas/Zebrafish-tracker-,2,1,Fish tracking using Yolo ,2025-05-16T14:28:21Z,Python,2025-10-24T08:15:57.238040
abdulmalik0103/tello_race,https://github.com/abdulmalik0103/tello_race,0,0,,2024-05-21T12:44:01Z,Python,2025-10-24T08:15:57.506200
CCOMJHC/contact_tracker,https://github.com/CCOMJHC/contact_tracker,0,1,,2023-08-15T18:50:37Z,Jupyter Notebook,2025-10-24T08:15:57.873973
tsoonjin/volleyup,https://github.com/tsoonjin/volleyup,3,1,Beach Volleyball Match Analysis,2021-10-27T09:48:02Z,Python,2025-10-24T08:15:58.121844
sagnikdas98/vislam_raspi,https://github.com/sagnikdas98/vislam_raspi,0,1,,2021-07-24T15:04:43Z,Python,2025-10-24T08:15:58.457908
jonathan-liu-0204/Self-Driving-Cars,https://github.com/jonathan-liu-0204/Self-Driving-Cars,0,0,Homework and notes of the EECN30168 Self-Driving Cars taken in 2022 Fall in NYCU.,2023-01-09T08:55:20Z,Python,2025-10-24T08:15:58.740524
boocao/long-distance_vehicle_trajectory_generation,https://github.com/boocao/long-distance_vehicle_trajectory_generation,0,1,The codes of the vehicle trajectory generation from aerial videos.,2025-06-20T14:41:57Z,Python,2025-10-24T08:15:59.003082
xjl-le/yolov9_tracking,https://github.com/xjl-le/yolov9_tracking,10,1,it is a learning project,2025-08-25T07:07:42Z,Python,2025-10-24T08:15:59.261120
IP-wan/daydreamer-Go1.v3,https://github.com/IP-wan/daydreamer-Go1.v3,1,0,daydreamer-Go1 with free-dog-sdk,2025-08-01T01:51:11Z,Python,2025-10-24T08:15:59.506491
JRL-CARI-CNR-UNIBS/hri_predict_ros,https://github.com/JRL-CARI-CNR-UNIBS/hri_predict_ros,0,0,,2025-02-28T17:50:50Z,HTML,2025-10-24T08:15:59.856945
deep-diary/DeepDiary,https://github.com/deep-diary/DeepDiary,0,0,,2025-10-24T07:13:12Z,C,2025-10-24T08:16:00.143216
selmavangstein/bluetooth-tracking-ultimate,https://github.com/selmavangstein/bluetooth-tracking-ultimate,0,0,We develop a bluetooth system for tracking ultimate frisbee players,2025-03-18T15:29:40Z,Jupyter Notebook,2025-10-24T08:16:00.410510
Partha-dev01/resmod,https://github.com/Partha-dev01/resmod,0,0,,2025-09-11T06:49:05Z,Jupyter Notebook,2025-10-24T08:16:00.669936
bellhyeon/BoT-FaceSORT,https://github.com/bellhyeon/BoT-FaceSORT,4,0,BoT-FaceSORT: Bag-of-Tricks for Robust Multi-Face Tracking in Unconstrained Videos [ACCV'24],2025-09-12T04:59:37Z,Python,2025-10-24T08:16:00.966386
PUTvision/yolov9-pf-track-porpoises,https://github.com/PUTvision/yolov9-pf-track-porpoises,1,1,,2025-09-23T11:24:29Z,Python,2025-10-24T08:16:01.261639
IAA111/SimpleTSDemo,https://github.com/IAA111/SimpleTSDemo,0,0,,2024-04-01T02:50:32Z,Python,2025-10-24T08:16:01.531740
p3jitnath/climate-rl-fedRL,https://github.com/p3jitnath/climate-rl-fedRL,1,1,Code repository for the paper FedRAIN-Lite: Federated Reinforcement Algorithms for Improving Idealised Numerical Weather and Climate Models,2025-09-14T15:12:32Z,Jupyter Notebook,2025-10-24T08:16:01.806384
luciferyu666/baseball-frame-analysis,https://github.com/luciferyu666/baseball-frame-analysis,0,0,,2025-06-10T06:08:02Z,Python,2025-10-24T08:16:02.101772
TernenceLopez/MOTTrack,https://github.com/TernenceLopez/MOTTrack,5,0,yolov8 track with distillation,2025-04-10T11:47:50Z,Python,2025-10-24T08:16:02.392322
TrH203/Traffic-violation-detection,https://github.com/TrH203/Traffic-violation-detection,0,1,Scientific research project at Duy Tan University (DTU),2024-09-04T15:15:06Z,Python,2025-10-24T08:16:02.687504
lge-robot-navi/Object-Action-Detection-Tracking,https://github.com/lge-robot-navi/Object-Action-Detection-Tracking,2,0,"강인한 객체, 검출, 추적 및 행동분류",2021-09-24T05:01:26Z,Jupyter Notebook,2025-10-24T08:16:02.970289
amirholakoo/AISM,https://github.com/amirholakoo/AISM,1,0,Automated Inventory & Sales Management System,2025-09-30T08:04:52Z,Python,2025-10-24T08:16:03.246791
Naihe0/EE443_final_project,https://github.com/Naihe0/EE443_final_project,0,0,,2024-07-14T07:40:02Z,Jupyter Notebook,2025-10-24T08:16:03.533723
graebe/sstoolkit,https://github.com/graebe/sstoolkit,0,0,,2022-02-17T14:42:24Z,Python,2025-10-24T08:16:03.798451
wujoe0415/MR-Fiducial-Marker-Tracking,https://github.com/wujoe0415/MR-Fiducial-Marker-Tracking,0,1,MR-Fiducial-Marker-Tracking is a Unity package providing a mixed-reality interaction method using ArUco markers.,2024-12-13T08:55:22Z,ShaderLab,2025-10-24T08:16:04.088357
real-stanford/umi-on-legs,https://github.com/real-stanford/umi-on-legs,414,22,UMI on Legs: Making Manipulation Policies Mobile with Manipulation-Centric Whole-body Controllers,2025-10-24T05:52:22Z,Python,2025-10-24T08:16:04.412400
clemente0731/Real-time-Traffic-and-Pedestrian-Counting,https://github.com/clemente0731/Real-time-Traffic-and-Pedestrian-Counting,68,19,Real-time Traffic and Pedestrian Counting (YOLOV3 in tensorflow2),2025-06-29T17:20:23Z,Python,2025-10-24T08:16:04.677371
omariosc/oss-2025-task-3-submission,https://github.com/omariosc/oss-2025-task-3-submission,0,0,EndoVis 2025 Task 3 - YOLO-Pose Surgical Keypoint Tracking | HOTA: 0.4281 | Real-time surgical instrument and hand tracking,2025-09-17T21:03:25Z,Python,2025-10-24T08:16:04.977706
andriilitvynchuk/patch-parallel-detection-framework,https://github.com/andriilitvynchuk/patch-parallel-detection-framework,0,0,,2023-09-05T14:15:34Z,Python,2025-10-24T08:16:05.758736
cosmic-heart/Face-Recognition-From-Crowd,https://github.com/cosmic-heart/Face-Recognition-From-Crowd,11,1,"Face Recognition from Crowd by using yolov7 .Extracting the faces from a video/image/live source, which is then passed to the custom facenet network in order to recognize the peoples",2025-08-05T06:32:34Z,Python,2025-10-24T08:16:05.992354
haidongwang96/3d_detection,https://github.com/haidongwang96/3d_detection,0,0,3d human pose estimation ,2025-05-14T06:59:18Z,Python,2025-10-24T08:16:06.247654
jprock23/DuckybotROS2Base,https://github.com/jprock23/DuckybotROS2Base,0,0,,2025-10-21T02:45:32Z,Python,2025-10-24T08:16:06.644044
autonomousvision/plant,https://github.com/autonomousvision/plant,279,36,[CoRL'22] PlanT: Explainable Planning Transformers via Object-Level Representations,2025-10-16T03:31:59Z,Python,2025-10-24T08:16:06.964254
FathanFirmansyah/IPS,https://github.com/FathanFirmansyah/IPS,0,0,Indoor Positioning System,2025-01-20T01:54:33Z,Python,2025-10-24T08:16:07.216413
partus/traffic-violation-detection-demo,https://github.com/partus/traffic-violation-detection-demo,5,2,,2022-12-27T15:12:57Z,Python,2025-10-24T08:16:07.485909
